Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
51,52,starting a new fitness challenge tomorrow! 💪,positive,01-02-2023 08:00,fitnesschallenge,facebook,#fitnesschallenge #newbeginnings,22,45,uk,2023,2,1,8
52,53,sunday bike ride through scenic trails.,positive,01-02-2023 13:30,bikeexplorer,instagram,#bikeride #scenictrails,18,35,usa,2023,2,1,13
53,55,can't believe the injustice happening in our society.,anger,11-02-2023 09:30,socialjustice,twitter,#injustice #angry,20,40,canada,2023,2,11,9
54,56,feeling a sense of fear after watching a thriller movie.,fear,11-02-2023 21:15,thrillerfan,instagram,#fear #thrillermovie,15,30,usa,2023,2,11,21
55,57,heartbroken after hearing the news about a natural disaster.,sadness,12-02-2023 14:45,empathyfirst,facebook,#sadness #naturaldisaster,25,50,india,2023,2,12,14
56,58,the state of the world's environment is just disgusting.,disgust,12-02-2023 18:20,ecoawareness,twitter,#disgust #environment,18,35,uk,2023,2,12,18
57,59,pure happiness: celebrating a loved one's achievement!,happiness,13-02-2023 10:00,proudfriend,instagram,#happiness #celebration,30,60,usa,2023,2,13,10
58,60,laughter is the best medicine—enjoying a comedy show.,joy,13-02-2023 19:30,comedyfan,facebook,#joy #comedyshow,22,45,canada,2023,2,13,19
59,61,sharing love and positive vibes with everyone! ❤️,love,14-02-2023 08:30,lovespreader,twitter,#love #spreadlove,15,30,australia,2023,2,14,8
60,62,an amusing incident brightened up my day!,amusement,14-02-2023 14:20,amusedsoul,instagram,#amusement #funtimes,18,35,uk,2023,2,14,14
61,63,enjoying a quiet evening with a book and some tea.,enjoyment,14-02-2023 19:45,bookloveragain,facebook,#enjoyment #booktime,25,50,canada,2023,2,14,19
62,64,admiring the beauty of nature during a peaceful hike.,admiration,15-02-2023 11:30,natureadmirer,twitter,#admiration #nature,20,40,usa,2023,2,15,11
63,65,sending affectionate vibes to all my followers!,affection,15-02-2023 16:00,affectionsender,instagram,#affection #positivevibes,15,30,usa,2023,2,15,16
64,66,experiencing awe at the breathtaking sunset.,awe,15-02-2023 20:30,awestruck,facebook,#awe #breathtaking,22,45,australia,2023,2,15,20
65,67,disappointed with the service at a local restaurant.,disappointed,16-02-2023 09:00,foodiegonewrong,twitter,#disappointed #badservice,18,35,india,2023,2,16,9
66,68,a surprise gift from a friend made my day!,surprise,16-02-2023 14:45,happysurprise,instagram,#surprise #gift,25,50,usa,2023,2,16,14
67,69,finding acceptance in the midst of life's challenges.,acceptance,16-02-2023 18:20,acceptanceseeker,facebook,#acceptance #challenges,15,30,canada,2023,2,16,18
68,70,overflowing with adoration for my adorable pet! 🐾,adoration,17-02-2023 10:45,petadorer,twitter,#adoration #petlove,22,45,uk,2023,2,17,10
69,71,anticipating a thrilling adventure in the coming weeks.,anticipation,17-02-2023 07:30,adventureawaits,instagram,#anticipation #adventure,20,40,usa,2023,2,17,7
70,72,a bitter experience turned into a valuable lesson.,bitter,17-02-2023 15:00,learnfrombitter,facebook,#bitterlesson #growth,18,35,usa,2023,2,17,15
71,73,finding calmness in the midst of a busy day.,calmness,18-02-2023 09:30,zenmaster,twitter,#calmness #peacefulmind,15,30,india,2023,2,18,9
72,74,confusion clouds my mind as i navigate through decisions.,confusion,18-02-2023 14:20,confusedmind,instagram,#confusion #decisionmaking,25,50,uk,2023,2,18,14
73,75,excitement building up for the upcoming vacation!,excitement,18-02-2023 18:45,vacationdreamer,facebook,#excitement #travelplans,22,45,canada,2023,2,18,18
74,76,kindness witnessed today restored my faith in humanity.,kind,19-02-2023 11:30,kindnessprevails,twitter,#kindness #humanity,20,40,usa,2023,2,19,11
75,77,pride in achieving a personal milestone.,pride,19-02-2023 16:00,personalachiever,instagram,#pride #milestone,30,60,australia,2023,2,19,16
76,78,a moment of shame for not standing up against injustice.,shame,19-02-2023 19:45,reflectiveself,facebook,#shame #injustice,15,30,india,2023,2,19,19
77,79,fuming with anger after a heated argument.,anger,20-02-2023 09:30,angrydebater,twitter,#anger #argument,20,40,canada,2023,2,20,9
78,80,the fear of the unknown is keeping me up at night.,fear,20-02-2023 21:15,fearfuldreamer,instagram,#fear #unknown,15,30,usa,2023,2,20,21
79,81,heartfelt sadness after bidding farewell to a dear friend.,sadness,21-02-2023 14:45,farewellheart,facebook,#sadness #farewell,25,50,india,2023,2,21,14
80,82,the state of corruption in our society is utterly disgusting.,disgust,21-02-2023 18:20,anticorruption,twitter,#disgust #corruption,18,35,uk,2023,2,21,18
81,83,overflowing happiness: welcoming a new family member!,happiness,22-02-2023 10:00,newparentjoy,instagram,#happiness #newfamilymember,30,60,uk,2023,2,22,10
82,84,laughter is the key to joy—attending a stand-up comedy show.,joy,22-02-2023 19:30,standupfan,facebook,#joy #standupcomedy,22,45,canada,2023,2,22,19
83,85,sending love to all my followers on this beautiful day! ❤️,love,23-02-2023 08:30,lovesender,twitter,#love #spreadlove,15,30,australia,2023,2,23,8
84,86,amused by the antics of my pet—it's pure amusement!,amusement,23-02-2023 14:20,petamuser,instagram,#amusement #petantics,18,35,uk,2023,2,23,14
85,87,enjoying every moment of this trip—pure enjoyment!,enjoyment,23-02-2023 19:45,travelexplorer,facebook,#enjoyment #travel,25,50,usa,2023,2,23,19
86,88,admiring the dedication of volunteers at a local charity.,admiration,24-02-2023 11:30,charityadmirer,twitter,#admiration #volunteers,20,40,usa,2023,2,24,11
87,89,sending affectionate vibes to friends and family.,affection,24-02-2023 16:00,familylover,instagram,#affection #familylove,15,30,usa,2023,2,24,16
88,90,awe-struck by the beauty of the night sky.,awe,24-02-2023 20:30,stargazer,facebook,#awe #starrynight,22,45,australia,2023,2,24,20
89,91,disappointed with the lack of progress in a personal project.,disappointed,25-02-2023 09:00,projectstruggle,twitter,#disappointed #project,18,35,india,2023,2,25,9
90,92,a surprise visit from an old friend brought tears of joy.,surprise,25-02-2023 14:45,joyfulreunion,instagram,#surprise #oldfriends,25,50,usa,2023,2,25,14
91,93,embracing acceptance of life's ups and downs.,acceptance,25-02-2023 18:20,lifeacceptance,facebook,#acceptance #lifejourney,15,30,canada,2023,2,25,18
92,94,overflowing adoration for a cute rescue puppy! 🐶,adoration,26-02-2023 10:45,puppyadmirer,twitter,#adoration #puppylove,22,45,uk,2023,2,26,10
93,95,anticipating the release of a much-awaited movie.,anticipation,26-02-2023 07:30,moviebuff2,instagram,#anticipation #movierelease,20,40,australia,2023,2,26,7
94,96,bitter experience at the customer service department.,bitter,26-02-2023 15:00,customerwoes,facebook,#bitterexperience #customerservice,18,35,usa,2023,2,26,15
95,97,finding calmness amidst the chaos of daily life.,calmness,27-02-2023 09:30,calmsoul,twitter,#calmness #innerpeace,15,30,india,2023,2,27,9
96,98,confusion reigns as i try to make sense of recent events.,confusion,27-02-2023 14:20,confusedmind2,instagram,#confusion #makingsense,25,50,uk,2023,2,27,14
97,99,excitement building up for a surprise birthday party.,excitement,27-02-2023 18:45,birthdayexcite,facebook,#excitement #surpriseparty,22,45,canada,2023,2,27,18
98,100,witnessed an act of kindness that made my day.,kind,28-02-2023 11:30,kindnessobserver,twitter,#kindness #actsofkindness,20,40,usa,2023,2,28,11
99,101,pride in completing a challenging fitness challenge.,pride,28-02-2023 16:00,fitachiever,instagram,#pride #fitnesschallengecompleted,30,60,uk,2023,2,28,16
100,102,a moment of shame for not speaking up against injustice.,shame,28-02-2023 19:45,reflectiveself2,facebook,#shame #injustice,15,30,india,2023,2,28,19
101,103,reflecting on the beauty of diversity in our world.,acceptance,01-03-2023 10:45,diversitylover,twitter,#acceptance #diversity,22,45,australia,2023,3,1,10
102,104,excitement for a quiet evening with a good book.,excitement,01-03-2023 13:30,bookwormjoy,instagram,#excitement #booktime,18,35,usa,2023,3,1,13
103,105,feeling bitter about the unfairness in the workplace.,bitter,01-03-2023 17:45,workplacewoes,twitter,#bitter #unfairness,15,30,canada,2023,3,1,17
104,106,calmness prevails as i practice mindfulness.,calmness,02-03-2023 18:00,mindfulme,facebook,#calmness #mindfulness,15,30,uk,2023,3,2,18
105,107,confusion surrounds me as i navigate through life's choices.,confusion,02-03-2023 13:15,confusedmind3,instagram,#confusion #lifechoices,30,60,usa,2023,3,2,13
106,108,excitement for a weekend road trip to explore new places.,excitement,02-03-2023 16:45,roadtripper2,twitter,#excitement #weekendadventure,25,50,india,2023,3,2,16
107,109,kindness witnessed today restores my faith in humanity.,kind,03-03-2023 11:30,kindnessprevails2,facebook,#kindness #humanityrestored,22,45,usa,2023,3,3,11
108,110,pride in accomplishing personal and professional goals.,pride,03-03-2023 14:30,goalachiever,instagram,#pride #accomplishments,12,25,canada,2023,3,3,14
109,111,shame for not being true to my values in a difficult situation.,shame,03-03-2023 12:00,reflectiveself3,twitter,#shame #integrity,15,30,uk,2023,3,3,12
110,112,"revisiting old memories, feeling a sense of elation.",elation,15-05-2010 15:30,nostalgiafan,twitter,#elation #memories,20,40,canada,2010,5,15,15
111,113,the victory of our team brought euphoria to the city.,euphoria,10-08-2021 21:15,sportsfanatic,instagram,#euphoria #victory,15,30,usa,2021,8,10,21
112,114,"embracing the beauty of nature, a moment of contentment.",contentment,20-06-2011 14:45,naturelover2,facebook,#contentment #nature,25,50,india,2011,6,20,14
113,115,"meditating by the serene lake, finding inner peace.",serenity,12-02-2022 18:20,zenmaster2,twitter,#serenity #meditation,18,35,uk,2022,2,12,18
114,116,overflowing with gratitude for life's blessings.,gratitude,25-11-2012 10:00,thankfulheart,instagram,#gratitude #blessed,30,60,australia,2012,11,25,10
115,117,"hopeful for a brighter tomorrow, despite challenges.",hope,05-04-2013 19:30,optimisticsoul,facebook,#hope #optimism,22,45,usa,2013,4,5,19
116,118,empowered to make a difference in my community.,empowerment,14-09-2014 08:30,communityleader,twitter,#empowerment #community,15,30,uk,2014,9,14,8
117,119,compassion in action: supporting a local charity event.,compassion,18-07-2015 14:20,charitysupporter,instagram,#compassion #charityevent,18,35,canada,2015,7,18,14
118,120,"a moment of tenderness, connecting with loved ones.",tenderness,23-02-2016 19:45,lovingheart,facebook,#tenderness #familytime,25,50,uk,2016,2,23,19
119,121,arousal of excitement as i await a special announcement.,arousal,30-10-2017 11:30,excitementfan,twitter,#arousal #excitement,20,40,australia,2017,10,30,11
120,122,enthusiastically diving into a new project.,enthusiasm,15-06-2018 16:00,projectenthusiast,instagram,#enthusiasm #newproject,15,30,usa,2018,6,15,16
121,123,feeling a sense of fulfillment after reaching a milestone.,fulfillment,28-03-2019 18:20,milestoneachiever,facebook,#fulfillment #milestone,22,45,india,2019,3,28,18
122,124,reverence for the beauty of a historic landmark.,reverence,11-11-2019 15:00,historylover,twitter,#reverence #history,18,35,uk,2019,11,11,15
123,125,elation after a surprise reunion with old friends.,elation,02-04-2020 09:30,joyfulreunion2,instagram,#elation #oldfriends,25,50,canada,2020,4,2,9
124,126,the euphoria of a live music concert under the stars.,euphoria,19-06-2021 14:45,musicenthusiast,facebook,#euphoria #livemusic,15,30,usa,2021,6,19,14
125,127,contentment in the simplicity of a quiet sunday.,contentment,15-08-2010 10:00,simplejoys,twitter,#contentment #sundaymood,30,60,australia,2010,8,15,10
126,128,serenity found in the pages of a favorite book.,serenity,22-09-2011 19:30,booklover3,instagram,#serenity #booktime,22,45,uk,2011,9,22,19
127,129,gratitude for the support received during tough times.,gratitude,10-03-2012 08:30,supportivefriend,facebook,#gratitude #supportive,15,30,india,2012,3,10,8
128,130,hopeful about the possibilities of a new journey.,hope,05-12-2013 16:00,journeyoptimist,twitter,#hope #newbeginnings,18,35,canada,2013,12,5,16
129,131,empowerment through learning and personal growth.,empowerment,20-07-2014 11:30,growthseeker,instagram,#empowerment #personalgrowth,25,50,usa,2014,7,20,11
130,132,compassion towards those in need during the holidays.,compassion,22-12-2015 14:20,holidayhelper,facebook,#compassion #holidaysupport,18,35,usa,2015,12,22,14
131,133,tenderness in the warmth of a cozy winter evening.,tenderness,10-02-2016 19:45,winterwarmth,twitter,#tenderness #cozyevening,25,50,uk,2016,2,10,19
132,134,arousal of excitement for an upcoming adventure.,arousal,30-04-2017 11:30,adventureawaits,instagram,#arousal #adventuretime,20,40,australia,2017,4,30,11
133,135,enthusiasm for a creative project in the making.,enthusiasm,15-09-2018 16:00,creativespirit,facebook,#enthusiasm #creativity,15,30,canada,2018,9,15,16
134,136,fulfillment in completing a challenging workout routine.,fulfillment,28-06-2019 18:20,fitnessachiever,twitter,#fulfillment #fitnessgoals,22,45,india,2019,6,28,18
135,137,reverence for the artistry displayed in a museum.,reverence,11-11-2020 15:00,artappreciator,instagram,#reverence #artappreciation,18,35,uk,2020,11,11,15
136,138,elation after achieving a personal goal.,elation,02-03-2021 09:30,goalachiever2,facebook,#elation #personalachievement,25,50,usa,2021,3,2,9
137,139,elation over discovering a hidden gem in the city.,elation,18-02-2012 14:30,urbanexplorer2,twitter,#elation #hiddengem,20,40,usa,2012,2,18,14
138,140,the euphoria of a surprise birthday celebration.,euphoria,05-11-2018 21:45,birthdayjoy,instagram,#euphoria #birthdaysurprise,15,30,uk,2018,11,5,21
139,141,contentment in the simplicity of a home-cooked meal.,contentment,12-09-2015 13:20,homechef,facebook,#contentment #homecooking,25,50,india,2015,9,12,13
140,142,serenity found in the melody of a peaceful piano.,serenity,30-07-2016 18:10,musiclover4,twitter,#serenity #peacefulmelody,18,35,canada,2016,7,30,18
141,143,gratitude for the supportive community around me.,gratitude,20-04-2013 10:30,communitylove,instagram,#gratitude #communitysupport,30,60,usa,2013,4,20,10
142,144,hopeful about the prospects of a new business venture.,hope,08-12-2017 19:15,entrepreneurhope,facebook,#hope #businessventure,22,45,canada,2017,12,8,19
143,145,empowerment through mentoring and guiding others.,empowerment,03-06-2014 08:20,mentorempower,twitter,#empowerment #mentorship,15,30,uk,2014,6,3,8
144,146,compassion shown through acts of kindness in the community.,compassion,15-01-2019 14:50,kindnessinaction,instagram,#compassion #communitykindness,18,35,australia,2019,1,15,14
145,147,tenderness in a heartfelt message to a loved one.,tenderness,25-12-2016 19:30,loveexpress,facebook,#tenderness #lovenote,25,50,uk,2016,12,25,19
146,148,arousal of excitement before a much-awaited trip.,arousal,10-03-2018 09:45,travelexcitement,twitter,#arousal #traveladventure,20,40,india,2018,3,10,9
147,149,enthusiasm for a new artistic project in the works.,enthusiasm,17-09-2020 16:30,artisticspirit,instagram,#enthusiasm #artisticproject,15,30,usa,2020,9,17,16
148,150,feeling a sense of fulfillment after helping others.,fulfillment,28-08-2011 18:45,helperheart,facebook,#fulfillment #helpingothers,22,45,canada,2011,8,28,18
149,151,reverence for the historical significance of a landmark.,reverence,01-11-2017 15:30,historybuff,twitter,#reverence #historicalsite,18,35,australia,2017,11,1,15
150,152,elation after achieving a fitness milestone.,elation,15-06-2019 10:00,fitnessachiever2,instagram,#elation #fitnessmilestone,25,50,uk,2019,6,15,10
151,153,the euphoria of a successful product launch.,euphoria,03-04-2022 11:45,productlaunchjoy,facebook,#euphoria #productlaunchsuccess,15,30,usa,2022,4,3,11
152,154,contentment in the embrace of a loved one.,contentment,12-11-2010 20:20,lovingembrace,twitter,#contentment #love,30,60,india,2010,11,12,20
153,155,serenity found in the beauty of a sunset by the sea.,serenity,22-07-2011 18:30,sunsetwatcher2,instagram,#serenity #sunsetviews,22,45,canada,2011,7,22,18
154,156,gratitude for the small joys that each day brings.,gratitude,30-03-2012 11:20,joyfulheart2,facebook,#gratitude #smalljoys,15,30,australia,2012,3,30,11
155,157,hopeful about the potential for personal growth.,hope,05-10-2013 16:40,growthoptimist,twitter,#hope #personaldevelopment,18,35,uk,2013,10,5,16
156,158,empowerment through learning a new skill.,empowerment,10-07-2014 13:15,skillempower,instagram,#empowerment #skillbuilding,25,50,india,2014,7,10,13
157,159,compassion in volunteering for a local charity.,compassion,18-12-2015 14:20,charityvolunteer,facebook,#compassion #volunteerwork,18,35,usa,2015,12,18,14
158,160,tenderness in a quiet moment shared with a pet.,tenderness,10-02-2016 19:45,petlove,twitter,#tenderness #petlove,25,50,canada,2016,2,10,19
159,161,arousal of excitement for an upcoming festival.,arousal,25-09-2017 11:30,festivalfan,instagram,#arousal #festivalexcitement,20,40,uk,2017,9,25,11
160,162,enthusiasm for a diy home improvement project.,enthusiasm,15-04-2018 16:00,diyenthusiast,facebook,#enthusiasm #homeimprovement,15,30,australia,2018,4,15,16
161,163,fulfillment in completing a challenging puzzle.,fulfillment,28-11-2019 18:20,puzzlemaster,twitter,#fulfillment #puzzlechallenge,22,45,india,2019,11,28,18
162,164,reverence for the wonders of nature on a hiking trail.,reverence,11-05-2020 15:00,natureadmirer,instagram,#reverence #natureexploration,18,35,usa,2020,5,11,15
163,165,elation after a surprise reunion with a childhood friend.,elation,05-02-2021 09:30,childhoodjoy,facebook,#elation #friendshipreunion,25,50,canada,2021,2,5,9
164,166,suffering from despair after another setback.,despair,10-03-2021 08:30,strugglingsoul,twitter,#despair #struggle,5,10,usa,2021,3,10,8
165,167,"overwhelmed by grief, missing a loved one dearly.",grief,05-07-2022 15:45,mourningheart,instagram,#grief #loss,8,15,canada,2022,7,5,15
166,168,loneliness creeps in as the night grows colder.,loneliness,18-11-2019 21:20,solitarysoul,facebook,#loneliness #isolation,10,20,uk,2019,11,18,21
167,169,jealousy consumes me as i witness others' success.,jealousy,12-08-2020 11:30,enviousobserver,twitter,#jealousy #envy,12,25,india,2020,8,12,11
168,170,resentment building up over past betrayals.,resentment,22-05-2018 14:45,bitterheart,instagram,#resentment #bitterness,7,15,australia,2018,5,22,14
169,171,frustration mounts as obstacles block my path.,frustration,30-01-2017 16:10,blockedgoals,facebook,#frustration #obstacles,10,20,usa,2017,1,30,16
170,172,"boredom sets in, the day feels endlessly dull.",boredom,28-09-2016 19:45,boredmind,twitter,#boredom #lackofinterest,8,15,canada,2016,9,28,19
171,173,"anxiety grips my heart, worry clouds my thoughts.",anxiety,15-04-2019 09:00,worriedmind,instagram,#anxiety #worry,12,25,uk,2019,4,15,9
172,174,intimidation by the unknown future ahead.,intimidation,03-12-2021 18:30,fearfulsoul,facebook,#intimidation #fear,15,30,india,2021,12,3,18
173,175,helplessness sinks in as challenges pile up.,helplessness,20-06-2020 14:20,overwhelmedheart,twitter,#helplessness #overwhelmed,8,15,australia,2020,6,20,14
174,176,envy eats away at me as i see others' prosperity.,envy,07-11-2018 11:30,covetousmind,instagram,#envy #desire,10,20,canada,2018,11,7,11
175,177,regret over missed opportunities haunts my thoughts.,regret,25-08-2017 16:00,remorsefulsoul,facebook,#regret #missedchances,12,25,uk,2017,8,25,16
176,178,disgust at the sight of injustice and cruelty.,disgust,11-02-2019 09:45,disgustedheart,twitter,#disgust #injustice,7,15,india,2019,2,11,9
177,179,"drowning in despair, hope slipping through my fingers.",despair,02-04-2016 20:20,hopelessheart,instagram,#despair #hopeless,10,20,usa,2016,4,2,20
178,180,"grief weighs heavy, tears a constant companion.",grief,18-10-2015 15:30,tearfulsoul,facebook,#grief #tears,12,25,canada,2015,10,18,15
179,181,"loneliness in a crowded room, a silent cry for connection.",loneliness,12-07-2019 18:10,isolatedmind,twitter,#loneliness #seekingconnection,15,30,uk,2019,7,12,18
180,182,"jealousy gnaws at my confidence, a toxic emotion.",jealousy,03-06-2018 16:30,selfdoubt,instagram,#jealousy #insecurity,8,15,india,2018,6,3,16
181,183,"resentment festers, poisoning relationships.",resentment,15-01-2022 12:00,brokentrust,facebook,#resentment #brokentrust,10,20,australia,2022,1,15,12
182,184,"frustration boils over, a volcanic eruption of emotions.",frustration,10-04-2017 14:45,explosivemind,twitter,#frustration #emotionaloutburst,12,25,usa,2017,4,10,14
183,185,"boredom settles like dust, life feels mundane.",boredom,28-11-2016 19:00,mundaneheart,instagram,#boredom #monotony,7,15,canada,2016,11,28,19
184,186,"anxiety grips my chest, a relentless grip on my thoughts.",anxiety,05-09-2018 09:30,restlessmind,facebook,#anxiety #restlessness,10,20,uk,2018,9,5,9
185,187,"intimidation by the challenges ahead, fear takes hold.",intimidation,22-10-2021 18:30,fearfuljourney,twitter,#intimidation #facingfear,15,30,india,2021,10,22,18
186,188,"helplessness engulfs me, drowning in a sea of problems.",helplessness,08-05-2019 14:20,overwhelmedsoul,instagram,#helplessness #struggling,8,15,australia,2019,5,8,14
187,189,"envy poisons my thoughts, coveting others' success.",envy,20-03-2017 11:30,greeneyedmonster,facebook,#envy #success,10,20,canada,2017,3,20,11
188,190,regret for decisions that led to a painful present.,regret,15-12-2018 16:00,regretfulmind,twitter,#regret #pastchoices,12,25,usa,2018,12,15,16
189,191,disgust at the corruption that stains society.,disgust,01-07-2016 09:45,corruptedheart,instagram,#disgust #corruption,7,15,uk,2016,7,1,9
190,192,"sinking in despair, each day darker than the last.",despair,20-08-2020 20:20,drowningsoul,facebook,#despair #darkdays,10,20,india,2020,8,20,20
191,193,"grief overwhelms, a storm of emotions within.",grief,25-02-2021 15:30,stormyheart,twitter,#grief #emotionalstorm,12,25,canada,2021,2,25,15
